maze_size,maze_num,try_num,result
3,0,0,14
3,0,1,14
3,0,2,16
3,0,3,18
3,0,4,6
3,0,5,12
3,0,6,30
3,0,7,10
3,0,8,18
3,0,9,82
3,0,10,26
3,0,11,4
3,0,12,18
3,0,13,8
3,0,14,4
3,0,15,12
3,0,16,22
3,0,17,4
3,0,18,4
3,0,19,22
3,0,20,8
3,0,21,6
3,0,22,20
3,0,23,14
3,0,24,4
3,0,25,4
3,0,26,26
3,0,27,8
3,0,28,12
3,0,29,4
3,0,30,16
3,0,31,64
3,0,32,14
3,0,33,12
3,0,34,30
3,0,35,20
3,0,36,18
3,0,37,20
3,0,38,14
3,0,39,20
3,0,40,50
3,0,41,12
3,0,42,6
3,0,43,16
3,0,44,20
3,0,45,6
3,0,46,20
3,0,47,20
3,0,48,10
3,0,49,6
3,0,50,6
3,0,51,10
3,0,52,6
3,0,53,6
3,0,54,6
3,0,55,18
3,0,56,4
3,0,57,18
3,0,58,6
3,0,59,8
3,0,60,18
3,0,61,16
3,0,62,14
3,0,63,36
3,0,64,22
3,0,65,12
3,0,66,10
3,0,67,4
3,0,68,26
3,0,69,6
3,0,70,24
3,0,71,32
3,0,72,14
3,0,73,24
3,0,74,6
3,0,75,14
3,0,76,8
3,0,77,18
3,0,78,8
3,0,79,20
3,0,80,20
3,0,81,8
3,0,82,24
3,0,83,26
3,0,84,10
3,0,85,26
3,0,86,66
3,0,87,6
3,0,88,20
3,0,89,6
3,0,90,4
3,0,91,10
3,0,92,12
3,0,93,34
3,0,94,18
3,0,95,8
3,0,96,22
3,0,97,20
3,0,98,8
3,0,99,26
3,1,0,12
3,1,1,6
3,1,2,14
3,1,3,16
3,1,4,6
3,1,5,6
3,1,6,58
3,1,7,18
3,1,8,22
3,1,9,12
3,1,10,8
3,1,11,4
3,1,12,16
3,1,13,4
3,1,14,30
3,1,15,6
3,1,16,8
3,1,17,8
3,1,18,8
3,1,19,16
3,1,20,14
3,1,21,20
3,1,22,10
3,1,23,14
3,1,24,6
3,1,25,10
3,1,26,30
3,1,27,4
3,1,28,6
3,1,29,14
3,1,30,40
3,1,31,20
3,1,32,10
3,1,33,14
3,1,34,12
3,1,35,10
3,1,36,4
3,1,37,12
